"";"SinS2_contig";"SinS2_start";"SinS2_end";"SinS2_strand"
"ASIC016150";"KI916225";"473941";"474522";"-1"
"ASIC016152";"KI916225";"472161";"472538";"-1"
"ASIC016153";"KI916225";"469035";"469782";"-1"
"ASIC016154";"KI916225";"454440";"454796";"1"
"ASIC016156";"KI916225";"436698";"439583";"-1"
"ASIC016157";"KI916225";"433110";"434786";"1"
"ASIC016158";"KI916225";"432071";"432639";"-1"
"ASIC016159";"KI916225";"431317";"431718";"1"
"ASIC016160";"KI916225";"425389";"430019";"1"
"ASIC016161";"KI916225";"418936";"415805";"-1"
"ASIC016163";"KI916586";"13824";"14490";"-1"
"ASIC016165";"KI916586";"33958";"34727";"-1"
"ASIC016166";"KI916225";"372162";"372815";"1"
"ASIC016167";"KI916586";"74496";"74962";"-1"
"ASIC016170";"KI916586";"131772";"132014";"-1"
"ASIC016172";"AXCK02028267";"317";"914";"1"
"ASIC016177";"KI916586";"172907";"173022";"-1"
"ASIC016178";"KI916586";"174200";"175192";"-1"
"ASIC016179";"KI916586";"176324";"177325";"1"
"ASIC016182";"KI916225";"205891";"206255";"1"
"ASIC016030";"KI916586";"233324";"229420";"-1"
"ASIC016031";"KI916244";"1005920";"1006711";"-1"
"ASIC016032";"KI916244";"1003329";"1004894";"1"
"ASIC016033";"KI916225";"114715";"128307";"1"
"ASIC025035";"KI916225";"116567";"116777";"-1"
"ASIC016034";"KI916225";"111524";"112976";"1"
"ASIC016035";"KI916225";"105459";"106330";"-1"
"ASIC016036";"KI916225";"100836";"100550";"-1"
"ASIC016037";"KI916225";"98099";"100051";"1"
"ASIC016038";"KI916244";"960902";"964720";"-1"
"ASIC016039";"KI916244";"958857";"960090";"-1"
"ASIC025194";"KI916689";"108270";"108280";"1"
"ASIC016041";"KI916225";"61793";"62811";"-1"
"ASIC016042";"KI916225";"57701";"58518";"-1"
"ASIC016043";"KI916933";"3286";"3726";"-1"
"ASIC016044";"KI916933";"2931";"3024";"1"
"ASIC016046";"KI916225";"10464";"10864";"1"
"ASIC016047";"KI916225";"2270";"3413";"-1"
"ASIC016048";"KI916225";"666";"2030";"1"
"ASIC016049";"KI916244";"878863";"884995";"1"
"ASIC016050";"KI916244";"874901";"877741";"-1"
"ASIC016052";"KI916244";"872667";"873397";"-1"
"ASIC016053";"KI916244";"859620";"864716";"1"
"ASIC016054";"KI916899";"14851";"18418";"-1"
"ASIC016056";"KI916244";"764801";"766457";"-1"
"ASIC016057";"KI916244";"763316";"763262";"-1"
"ASIC016058";"KI916244";"760939";"760953";"-1"
"ASIC016059";"KI918737";"5408";"5897";"-1"
"ASIC016060";"KI918737";"2735";"4210";"-1"
"ASIC016061";"KI918737";"976";"1071";"-1"
"ASIC016067";"KI916691";"145054";"145536";"-1"
"ASIC016069";"KI916691";"95760";"96203";"1"
"ASIC016071";"KI916691";"87386";"87664";"1"
"ASIC016072";"KI916691";"80648";"81220";"1"
"ASIC016075";"KI916244";"571503";"571937";"1"
"ASIC016076";"KI916244";"556671";"557214";"-1"
"ASIC016078";"KI916244";"524748";"526871";"1"
"ASIC016079";"KI916244";"520461";"522469";"1"
"ASIC016080";"KI916244";"519096";"519797";"-1"
"ASIC016081";"KI916244";"515163";"518655";"1"
"ASIC016082";"KI916244";"489913";"490371";"-1"
"ASIC016083";"AXCK02028530";"473";"1160";"1"
"ASIC016085";"KI916244";"443698";"444627";"-1"
"ASIC016086";"KI916244";"441001";"441303";"-1"
"ASIC016087";"KI917726";"8847";"9554";"1"
"ASIC016088";"KI916688";"162926";"163253";"1"
"ASIC016090";"AXCK02026795";"242";"854";"1"
"ASIC016478";"KI916202";"1291728";"1294616";"1"
"ASIC016489";"KI916202";"1285191";"1289856";"-1"
"ASIC016500";"KI916202";"1279397";"1279873";"-1"
"ASIC016511";"KI916202";"1275214";"1278125";"-1"
"ASIC016533";"KI916958";"3710";"7283";"-1"
"ASIC016544";"KI916958";"11471";"13753";"1"
"ASIC016555";"AXCK02023591";"666";"2213";"-1"
"ASIC016429";"KI916202";"1235062";"1236357";"1"
"ASIC016440";"KI916958";"57219";"57748";"-1"
"ASIC016451";"KI916202";"1187536";"1187971";"1"
"ASIC016462";"KI916202";"1178587";"1179333";"1"
"ASIC016473";"KI916202";"1167997";"1170479";"-1"
"ASIC016474";"KI916202";"1151431";"1154613";"1"
"ASIC016475";"KI916202";"1138767";"1139177";"-1"
"ASIC016476";"KI916202";"1120657";"1121487";"-1"
"ASIC016477";"KI916202";"1117937";"1118878";"-1"
"ASIC016480";"KI917838";"1906";"2223";"1"
"ASIC016483";"KI916665";"132667";"133472";"1"
"ASIC016484";"KI916665";"131168";"132298";"-1"
"ASIC016485";"KI916665";"128386";"130881";"1"
"ASIC016487";"KI916202";"1037170";"1039475";"-1"
"ASIC016490";"AXCK02025336";"1";"1647";"1"
"ASIC016491";"KI916665";"95132";"95391";"1"
"ASIC016493";"KI916665";"49517";"49811";"1"
"ASIC016494";"KI916665";"48727";"49164";"1"
"ASIC016495";"KI916665";"42391";"42881";"-1"
"ASIC016496";"KI916202";"931419";"931938";"-1"
"ASIC016497";"KI916665";"7545";"7903";"-1"
"ASIC016498";"KI916202";"892302";"892676";"1"
"ASIC016499";"KI916202";"884061";"884562";"1"
"ASIC016501";"KI916202";"879870";"880164";"1"
"ASIC016506";"KI916817";"51200";"51576";"1"
"ASIC016509";"KI916637";"38782";"39100";"-1"
"ASIC016510";"KI916637";"86716";"87000";"1"
"ASIC016512";"KI916637";"91570";"92020";"-1"
"ASIC016514";"KI917941";"735";"1395";"1"
"ASIC016516";"KI916202";"446438";"448036";"-1"
"ASIC016518";"KI916430";"75379";"77023";"-1"
"ASIC016519";"KI916430";"77366";"80934";"1"
"ASIC016520";"KI916202";"406090";"410468";"-1"
"ASIC016521";"KI916202";"401505";"400145";"-1"
"ASIC016523";"AXCK02026215";"218";"1533";"1"
"ASIC016524";"KI917058";"46962";"48034";"-1"
"ASIC016525";"KI917058";"45855";"46910";"1"
"ASIC016528";"KI916430";"115937";"116729";"1"
"ASIC016530";"KI919150";"1";"295";"1"
"ASIC016531";"KI916202";"364077";"364466";"1"
"ASIC016532";"KI916430";"175147";"175944";"1"
"ASIC016535";"KI916430";"204226";"204807";"-1"
"ASIC016536";"KI916430";"210089";"210373";"1"
"ASIC016538";"KI916811";"52871";"53359";"-1"
"ASIC016539";"KI916430";"252008";"253499";"1"
"ASIC016540";"KI916430";"261372";"262037";"-1"
"ASIC016542";"AXCK02025272";"620";"2039";"-1"
"ASIC016545";"KI916430";"296091";"296993";"-1"
"ASIC016548";"KI916430";"374244";"374970";"-1"
"ASIC016549";"KI916430";"375890";"376230";"-1"
"ASIC016550";"KI916430";"382124";"382445";"1"
"ASIC016551";"KI916430";"382387";"383144";"-1"
"ASIC016553";"KI916443";"1";"1605";"1"
"ASIC016554";"KI916202";"93919";"94656";"-1"
"ASIC016556";"KI916202";"93144";"92938";"-1"
"ASIC016557";"KI916430";"411763";"419795";"1"
"ASIC016558";"AXCK02028885";"1290";"1328";"-1"
"ASIC016562";"KI916202";"53057";"54572";"1"
"ASIC016563";"KI916443";"80778";"81434";"-1"
"ASIC016564";"KI916443";"85052";"84601";"-1"
"ASIC016421";"KI916443";"132359";"135126";"1"
"ASIC016423";"KI916700";"93842";"94785";"1"
"ASIC016424";"KI916700";"92983";"93633";"-1"
"ASIC016425";"KI916599";"218625";"219543";"1"
"ASIC016426";"KI916599";"215270";"215650";"-1"
"ASIC016428";"KI916443";"197126";"197555";"1"
"ASIC016432";"KI916599";"177068";"175178";"-1"
"ASIC016433";"KI916599";"170293";"173986";"1"
"ASIC016436";"KI916443";"248238";"251665";"1"
"ASIC016437";"KI916443";"251731";"254699";"-1"
"ASIC016439";"KI917353";"9828";"10870";"1"
"ASIC016441";"KI917353";"6986";"8316";"-1"
"ASIC016442";"KI916700";"6015";"7474";"-1"
"ASIC016445";"KI916443";"294384";"294948";"-1"
"ASIC016446";"KI916443";"298049";"298378";"-1"
"ASIC016447";"KI916443";"298376";"298898";"-1"
"ASIC016448";"AXCK02030080";"1";"429";"-1"
"ASIC016449";"KI916599";"82045";"82466";"1"
"ASIC016453";"KI916513";"234923";"235421";"-1"
"ASIC016456";"KI916244";"177859";"178524";"-1"
"ASIC016459";"KI916244";"233685";"234147";"-1"
"ASIC016460";"KI916244";"236189";"236754";"1"
"ASIC016461";"KI916244";"243795";"244166";"-1"
"ASIC016463";"KI916244";"255499";"255849";"-1"
"ASIC016464";"KI916244";"259143";"259491";"-1"
"ASIC016465";"KI916244";"292368";"292826";"1"
"ASIC016466";"KI916688";"73902";"74271";"-1"
"ASIC016467";"KI916688";"75087";"75539";"1"
"ASIC016468";"KI916244";"333253";"333636";"-1"
"ASIC016469";"KI916244";"335454";"335974";"1"
"ASIC018582";"KI916305";"368";"2825";"1"
"ASIC025317";"KI916221";"1042756";"1042802";"-1"
"ASIC018615";"KI916305";"82113";"82921";"-1"
"ASIC018626";"KI916305";"83585";"87204";"-1"
"ASIC018637";"KI916305";"88292";"88626";"-1"
"ASIC018407";"KI916221";"1107312";"1108048";"1"
"ASIC018429";"KI917184";"40543";"40413";"-1"
"ASIC018440";"KI916305";"125531";"130271";"1"
"ASIC018451";"KI916305";"165668";"166171";"-1"
"ASIC018462";"KI916305";"174519";"175709";"1"
"ASIC018506";"KI916305";"206440";"206941";"-1"
"ASIC018529";"KI916305";"249741";"250489";"1"
"ASIC018540";"KI916305";"251726";"252097";"-1"
"ASIC018551";"KI916489";"59763";"60213";"1"
"ASIC018562";"KI916489";"74600";"75205";"-1"
"ASIC018573";"KI916489";"76332";"76972";"1"
"ASIC018578";"KI916489";"78832";"79142";"1"
"ASIC018579";"KI916489";"80271";"84278";"-1"
"ASIC018580";"KI916305";"290544";"290909";"-1"
"ASIC018581";"KI916305";"297818";"298306";"-1"
"ASIC018584";"KI916489";"112178";"127027";"1"
"ASIC018585";"KI916305";"337118";"338757";"-1"
"ASIC018586";"KI916305";"345969";"347570";"1"
"ASIC018587";"AXCK02022442";"3441";"3788";"-1"
"ASIC018589";"KI916489";"158850";"159680";"-1"
"ASIC018590";"KI916489";"162664";"163630";"1"
"ASIC018591";"KI918065";"6238";"7482";"-1"
"ASIC018594";"KI916305";"427129";"427559";"1"
"ASIC018595";"KI916305";"435476";"436163";"1"
"ASIC018596";"KI916305";"443902";"444296";"-1"
"ASIC018597";"KI916489";"244848";"245362";"1"
"ASIC018598";"KI916489";"247375";"251199";"1"
"ASIC018600";"KI916232";"1110016";"1110440";"1"
"ASIC018601";"KI916305";"489404";"489910";"1"
"ASIC018602";"KI916232";"1077159";"1077703";"1"
"ASIC018603";"KI916305";"521147";"521585";"-1"
"ASIC018605";"KI916489";"333474";"333952";"-1"
"ASIC018606";"KI916232";"1032981";"1033363";"1"
"ASIC018607";"KI916232";"1028146";"1030333";"1"
"ASIC018609";"KI916305";"569100";"569797";"-1"
"ASIC018610";"KI916305";"571173";"571575";"-1"
"ASIC018611";"KI916305";"581015";"581384";"-1"
"ASIC018612";"KI916232";"984335";"984432";"-1"
"ASIC018614";"KI916305";"630441";"631076";"-1"
"ASIC018617";"KI916232";"901653";"902019";"-1"
"ASIC018618";"KI916305";"716799";"716812";"-1"
"ASIC018619";"KI916232";"866614";"866898";"-1"
"ASIC018620";"KI916232";"864547";"866439";"-1"
"ASIC018621";"KI916232";"854353";"854690";"1"
"ASIC018622";"KI916232";"850859";"851434";"1"
"ASIC018623";"KI916232";"833800";"839054";"-1"
"ASIC018629";"KI917755";"1693";"2570";"-1"
"ASIC018630";"KI917755";"2946";"3685";"1"
"ASIC018632";"KI916232";"642693";"643510";"-1"
"ASIC025206";"AXCK02026474";"1";"134";"-1"
"ASIC018634";"KI916232";"568092";"570048";"1"
"ASIC018635";"KI916232";"531274";"531595";"1"
"ASIC018636";"KI916232";"487042";"487576";"1"
"ASIC025081";"KI916520";"156638";"156830";"-1"
"ASIC025409";"KI916520";"157169";"157360";"1"
"ASIC018641";"KI916232";"438209";"438488";"1"
"ASIC018642";"KI916232";"436810";"426883";"-1"
"ASIC018645";"KI916232";"384015";"387697";"1"
"ASIC018646";"KI916232";"378726";"380075";"1"
"ASIC018647";"KI916232";"377221";"378109";"-1"
"ASIC018649";"KI916232";"374957";"375478";"1"
"ASIC018650";"KI916232";"372788";"374610";"-1"
"ASIC018652";"KI916520";"253739";"255916";"-1"
"ASIC018653";"KI916520";"256374";"258096";"1"
"ASIC018654";"KI916520";"258273";"260096";"-1"
"ASIC018655";"KI916520";"260465";"262903";"1"
"ASIC018656";"KI916520";"267228";"268567";"1"
"ASIC018657";"KI916232";"326434";"330175";"1"
"ASIC018409";"KI916520";"298050";"299532";"1"
"ASIC018410";"KI916520";"300836";"301172";"-1"
"ASIC018411";"KI917172";"1299";"1653";"1"
"ASIC018412";"KI917172";"7778";"8224";"-1"
"ASIC018414";"KI916232";"279455";"280716";"-1"
"ASIC018415";"KI916232";"271526";"272140";"-1"
"ASIC018416";"AXCK02024683";"915";"1956";"1"
"ASIC018419";"KI916232";"235084";"235722";"-1"
"ASIC018420";"KI916232";"228824";"230137";"1"
"ASIC018423";"KI916232";"184377";"185053";"1"
"ASIC018424";"AXCK02027648";"896";"1365";"1"
"ASIC018425";"KI916232";"144523";"144872";"1"
"ASIC018426";"KI916208";"1456263";"1456646";"-1"
"ASIC018427";"KI916232";"96919";"99285";"-1"
"ASIC018428";"KI916444";"136094";"137437";"1"
"ASIC018430";"KI916444";"138608";"141263";"-1"
"ASIC018431";"KI916444";"142183";"144639";"-1"
"ASIC018432";"KI916444";"148238";"151174";"1"
"ASIC018433";"KI916208";"1421377";"1423307";"-1"
"ASIC018434";"KI916208";"1417193";"1420016";"-1"
"ASIC018437";"KI916232";"58843";"60653";"1"
"ASIC018438";"KI916232";"56778";"58620";"1"
"ASIC018439";"KI916232";"53566";"55523";"-1"
"ASIC018441";"KI916232";"49851";"52642";"1"
"ASIC018446";"KI916208";"1308624";"1310734";"-1"
"ASIC018453";"KI916208";"1246135";"1247217";"-1"
"ASIC018454";"KI916444";"345532";"347803";"1"
"ASIC018455";"KI916444";"348778";"350366";"-1"
"ASIC018456";"KI916444";"353858";"354343";"-1"
"ASIC018457";"KI916444";"355544";"357530";"1"
"ASIC018458";"KI916208";"1202270";"1210647";"-1"
"ASIC018459";"KI916208";"1199564";"1199648";"1"
"ASIC018463";"KI916444";"386876";"386890";"1"
"ASIC018464";"KI916444";"386975";"387853";"-1"
"ASIC018465";"KI916444";"388372";"388662";"-1"
"ASIC018469";"AXCK02027715";"639";"1550";"-1"
"ASIC018471";"KI916208";"1054496";"1054495";"-1"
"ASIC018472";"KI916208";"1043661";"1045499";"1"
"ASIC018474";"KI916208";"1042458";"1043428";"-1"
"ASIC018476";"KI916737";"79177";"79492";"-1"
"ASIC018477";"KI916737";"73139";"73462";"1"
"ASIC018478";"KI916737";"70661";"71090";"-1"
"ASIC018479";"KI916737";"65879";"66852";"-1"
"ASIC018480";"KI916737";"62307";"61721";"-1"
"ASIC018481";"KI916737";"57854";"58673";"1"
"ASIC018482";"KI916737";"56942";"57533";"1"
"ASIC018483";"KI916737";"55926";"56853";"1"
"ASIC018485";"KI916208";"1007179";"1008746";"-1"
"ASIC018486";"KI916208";"1006045";"1006872";"-1"
"ASIC018488";"KI916737";"24749";"25427";"-1"
"ASIC018489";"KI916208";"969875";"970233";"1"
"ASIC018490";"KI916208";"954730";"958850";"-1"
"ASIC018494";"KI916469";"354701";"355170";"-1"
"ASIC018500";"AXCK02026705";"1";"120";"-1"
"ASIC018502";"AXCK02028290";"551";"1436";"1"
"ASIC018503";"AXCK02028352";"1073";"1424";"1"
"ASIC018504";"KI916469";"312129";"315234";"-1"
"ASIC018507";"KI916469";"316464";"318467";"-1"
"ASIC018511";"KI916208";"786075";"786387";"-1"
"ASIC018512";"KI916469";"177636";"178025";"1"
"ASIC018513";"KI916469";"162302";"162789";"-1"
"ASIC018514";"KI916469";"101064";"101739";"-1"
"ASIC018515";"KI916469";"95278";"83568";"-1"
"ASIC018516";"KI916469";"73549";"73448";"-1"
"ASIC018519";"KI916469";"72045";"72691";"1"
"ASIC018520";"KI916469";"70456";"71583";"-1"
"ASIC018521";"KI916469";"66778";"61600";"-1"
"ASIC018524";"KI916469";"25658";"25657";"-1"
"ASIC018525";"KI916469";"11871";"21934";"1"
"ASIC018526";"KI916208";"676981";"677276";"1"
"ASIC018528";"KI916469";"449";"4599";"1"
"ASIC018530";"KI916208";"650281";"650893";"-1"
"ASIC018531";"KI916208";"641852";"636124";"-1"
"ASIC018532";"KI916208";"623909";"626239";"-1"
"ASIC018533";"AXCK02023094";"3433";"4519";"-1"
"ASIC018536";"AXCK02024951";"1";"275";"-1"
"ASIC018537";"KI916208";"567240";"568195";"-1"
"ASIC018538";"KI916208";"538067";"538359";"-1"
"ASIC018539";"KI916208";"537700";"538050";"-1"
"ASIC018541";"KI916481";"298913";"299701";"-1"
"ASIC018543";"KI916481";"208328";"208731";"-1"
"ASIC018545";"KI916208";"441952";"443613";"1"
"ASIC025424";"KI917762";"641";"832";"1"
"ASIC025299";"KI916208";"384509";"384727";"1"
"ASIC018547";"KI916208";"386715";"387068";"-1"
"ASIC018548";"KI916481";"147386";"147664";"-1"
"ASIC018549";"KI916481";"139041";"146673";"1"
"ASIC018552";"KI916208";"366168";"366370";"1"
"ASIC018553";"KI916208";"365847";"366227";"-1"
"ASIC018554";"KI916208";"364043";"364393";"-1"
"ASIC018555";"KI916481";"105032";"105414";"1"
"ASIC018556";"KI916481";"96975";"97247";"1"
"ASIC018557";"KI916481";"89868";"90327";"1"
"ASIC018558";"KI916481";"86555";"87585";"1"
"ASIC018559";"KI916481";"85049";"85122";"-1"
"ASIC018560";"AXCK02028989";"574";"1206";"-1"
"ASIC018561";"KI916208";"315487";"318755";"-1"
"ASIC025261";"KI916208";"316472";"316792";"1"
"ASIC025346";"KI916208";"316472";"316791";"1"
"ASIC018563";"KI916208";"312583";"314834";"-1"
"ASIC018564";"KI916481";"56613";"57740";"-1"
"ASIC018565";"KI916208";"271189";"271686";"-1"
"ASIC018566";"KI916208";"232663";"233179";"1"
"ASIC018567";"KI916208";"192916";"193387";"1"
"ASIC018568";"KI916208";"176525";"176911";"1"
"ASIC018569";"KI916208";"167702";"174915";"1"
"ASIC018570";"KI916208";"137779";"138913";"1"
"ASIC018572";"KI917572";"12479";"13176";"1"
"ASIC018574";"KI917572";"1911";"2291";"1"
"ASIC018575";"KI916527";"178155";"178750";"-1"
"ASIC018576";"AXCK02025668";"550";"1438";"-1"
"ASIC012193";"KI916197";"1827319";"1827930";"1"
"ASIC012272";"KI916197";"1833514";"1833961";"-1"
"ASIC012283";"KI916197";"1839123";"1839573";"-1"
"ASIC012294";"KI916286";"785211";"785651";"-1"
"ASIC012305";"AXCK02022895";"5295";"5645";"-1"
"ASIC012316";"KI916197";"1866763";"1867203";"-1"
"ASIC012327";"KI916197";"1881304";"1881760";"-1"
"ASIC012338";"KI916286";"738876";"739173";"1"
"ASIC012349";"KI916286";"697869";"698471";"-1"
"ASIC012194";"KI916286";"697179";"697535";"1"
"ASIC012205";"KI916286";"682658";"685222";"-1"
"ASIC025381";"KI916286";"667417";"667608";"1"
"ASIC012216";"KI916286";"656791";"657093";"-1"
"ASIC012227";"KI916286";"648725";"649292";"1"
"ASIC012238";"KI916286";"646423";"647022";"1"
"ASIC012249";"KI916286";"645449";"645747";"-1"
"ASIC012260";"KI916286";"630918";"631771";"-1"
"ASIC012269";"KI916286";"612237";"612620";"1"
"ASIC012270";"KI916286";"609453";"609814";"1"
"ASIC012271";"KI916286";"607311";"608984";"-1"
"ASIC012273";"KI916286";"597715";"598097";"-1"
"ASIC012274";"KI916286";"595132";"595813";"-1"
"ASIC012275";"KI916286";"589780";"590104";"-1"
"ASIC012276";"KI916286";"560170";"560950";"1"
"ASIC012277";"KI916286";"553226";"553639";"-1"
"ASIC012278";"KI916286";"546244";"546519";"1"
"ASIC012279";"KI916286";"535898";"536845";"1"
"ASIC012280";"KI916286";"513588";"514208";"1"
"ASIC012281";"KI916286";"467300";"468104";"-1"
"ASIC012282";"KI916286";"435148";"435329";"1"
"ASIC012284";"KI916286";"422872";"423240";"1"
"ASIC012285";"KI916286";"407672";"407954";"1"
"ASIC012286";"KI916286";"376209";"376559";"-1"
"ASIC012287";"KI916286";"370743";"371162";"1"
"ASIC012288";"KI916286";"368246";"370732";"-1"
"ASIC012289";"KI916286";"366681";"367705";"1"
"ASIC012290";"KI916286";"364548";"366154";"1"
"ASIC012292";"KI916286";"360070";"360404";"1"
"ASIC012296";"KI916286";"311464";"312302";"1"
"ASIC012297";"KI916286";"310443";"311332";"-1"
"ASIC012298";"KI916286";"307759";"308513";"-1"
"ASIC012299";"KI916286";"300100";"300427";"1"
"ASIC012300";"KI916286";"293543";"294018";"1"
"ASIC012301";"KI916286";"266280";"269812";"-1"
"ASIC012302";"KI916286";"260594";"261196";"1"
"ASIC012303";"KI916286";"259890";"260655";"1"
"ASIC012304";"KI916286";"254878";"254480";"-1"
"ASIC012306";"KI916286";"240384";"241137";"1"
"ASIC012307";"KI916286";"235545";"235913";"1"
"ASIC012308";"KI916286";"211835";"212179";"1"
"ASIC012309";"KI916286";"200229";"201065";"-1"
"ASIC012310";"KI916286";"187398";"194263";"1"
"ASIC012311";"KI916286";"183198";"186151";"1"
"ASIC012312";"KI916286";"181171";"181963";"1"
"ASIC012313";"KI916286";"178381";"180909";"1"
"ASIC012314";"KI916286";"155879";"122266";"-1"
"ASIC012317";"KI916286";"66172";"66517";"-1"
"ASIC012318";"KI916286";"67247";"66411";"-1"
"ASIC012319";"KI916286";"67247";"66411";"-1"
"ASIC012320";"KI916286";"59410";"60576";"-1"
"ASIC025333";"KI916286";"57276";"57492";"1"
"ASIC012321";"KI916286";"52062";"52511";"-1"
"ASIC012323";"KI916668";"39106";"40118";"-1"
"ASIC012324";"KI916668";"71030";"73120";"-1"
"ASIC012325";"KI916668";"91505";"92093";"1"
"ASIC012326";"KI916668";"95844";"96390";"1"
"ASIC012328";"AXCK02023141";"1556";"1954";"1"
"ASIC012330";"KI916668";"147906";"174247";"1"
"ASIC012331";"AXCK02018081";"902";"4222";"-1"
"ASIC012332";"AXCK02018081";"5840";"21044";"1"
"ASIC012333";"AXCK02018081";"26775";"27257";"-1"
"ASIC012334";"AXCK02018081";"27325";"29246";"1"
"ASIC012335";"AXCK02023307";"2640";"4118";"-1"
"ASIC012336";"AXCK02023307";"1679";"2466";"-1"
"ASIC012337";"KI916187";"2739963";"2740340";"1"
"ASIC012339";"KI916187";"2730410";"2658079";"-1"
"ASIC012340";"KI916187";"2638239";"2643100";"1"
"ASIC012341";"KI916187";"2609168";"2609636";"1"
"ASIC012342";"KI916187";"2606396";"2606800";"1"
"ASIC012343";"KI916187";"2601194";"2602709";"1"
"ASIC012344";"KI916187";"2596073";"2597017";"1"
"ASIC012345";"KI916187";"2593876";"2594400";"-1"
"ASIC012346";"KI916187";"2593177";"2593701";"-1"
"ASIC012347";"KI916187";"2588524";"2590108";"-1"
"ASIC012348";"KI916187";"2587954";"2588326";"-1"
"ASIC012350";"KI916187";"2587466";"2587965";"1"
"ASIC012351";"KI916187";"2581454";"2583275";"-1"
"ASIC012352";"KI916187";"2580175";"2579782";"-1"
"ASIC012353";"KI916187";"2563893";"2567265";"1"
"ASIC012354";"KI916187";"2559173";"2563442";"1"
"ASIC012355";"KI916187";"2552617";"2558420";"1"
"ASIC012356";"KI916187";"2519046";"2519507";"1"
"ASIC012357";"KI916187";"2513585";"2513061";"-1"
"ASIC012358";"KI916187";"2503706";"2505015";"1"
"ASIC012195";"KI916187";"2489568";"2491512";"1"
"ASIC012196";"KI916187";"2485056";"2486274";"1"
"ASIC012197";"KI916187";"2473365";"2473640";"-1"
"ASIC012199";"KI917372";"6831";"7164";"1"
"ASIC012200";"KI917372";"2825";"5020";"1"
"ASIC012201";"KI916187";"2435836";"2434899";"-1"
"ASIC012202";"KI916187";"2431952";"2433816";"1"
"ASIC012203";"KI916187";"2428426";"2430251";"-1"
"ASIC012204";"KI916187";"2425775";"2427523";"-1"
"ASIC012206";"KI916187";"2424188";"2425174";"-1"
"ASIC012207";"KI916187";"2422755";"2423334";"-1"
"ASIC012208";"KI916187";"2421893";"2422358";"-1"
"ASIC012209";"KI916187";"2416817";"2417678";"-1"
"ASIC012210";"KI916187";"2397478";"2397810";"-1"
"ASIC012211";"KI916187";"2392272";"2393021";"-1"
"ASIC012212";"KI916187";"2384189";"2384726";"-1"
"ASIC012213";"KI916187";"2382709";"2383799";"1"
"ASIC012214";"KI916187";"2374120";"2374921";"1"
"ASIC012215";"KI916187";"2370764";"2371790";"1"
"ASIC012217";"KI916187";"2367236";"2367697";"-1"
"ASIC012218";"KI916187";"2361084";"2363436";"-1"
"ASIC012220";"KI916187";"2263133";"2234536";"-1"
"ASIC012222";"KI916187";"2230069";"2230950";"-1"
"ASIC012223";"KI916187";"2222547";"2229927";"1"
"ASIC012224";"KI916187";"2219422";"2222363";"1"
"ASIC012225";"KI916187";"2212365";"2215844";"-1"
"ASIC012226";"KI916187";"2211130";"2211695";"1"
"ASIC012228";"KI916187";"2208601";"2210507";"-1"
"ASIC012229";"KI916187";"2201524";"2206487";"-1"
"ASIC012230";"KI916187";"2200207";"2200728";"1"
"ASIC012231";"KI916187";"2198436";"2198354";"-1"
"ASIC012232";"KI916187";"2193113";"2193394";"1"
"ASIC012233";"KI916187";"2149968";"2150455";"1"
"ASIC012234";"KI916187";"2133986";"2134390";"1"
"ASIC012236";"AXCK02018866";"12751";"13447";"1"
"ASIC012237";"AXCK02018866";"7160";"7159";"-1"
"ASIC012239";"KI916187";"2080508";"2081330";"-1"
"ASIC012240";"KI916187";"2079200";"2079959";"-1"
"ASIC012241";"KI916187";"2077163";"2079048";"1"
"ASIC012242";"KI916187";"2075466";"2076426";"-1"
"ASIC012243";"KI916187";"2072737";"2073521";"1"
"ASIC012244";"KI916187";"2068849";"2070516";"1"
"ASIC012245";"KI916187";"2063479";"2065847";"1"
"ASIC012246";"KI916187";"2059136";"2059760";"-1"
"ASIC012247";"KI916187";"2049689";"2055333";"1"
"ASIC012248";"KI916187";"2042394";"2043314";"-1"
"ASIC012250";"KI916187";"2038132";"2040891";"-1"
"ASIC012251";"KI916187";"2035725";"2037441";"1"
"ASIC012254";"AXCK02021464";"6839";"7341";"1"
"ASIC012255";"AXCK02021464";"3066";"3663";"1"
"ASIC012257";"AXCK02022571";"710";"1471";"1"
"ASIC012258";"KI916187";"1998810";"2000491";"1"
"ASIC012259";"KI916187";"1996157";"1997085";"-1"
"ASIC012261";"KI916187";"1991412";"1987157";"-1"
"ASIC012262";"KI916187";"1983489";"1986772";"1"
"ASIC012263";"KI916187";"1970191";"1979734";"1"
"ASIC012264";"KI916187";"1961153";"1961581";"1"
"ASIC012265";"KI916187";"1956111";"1956479";"1"
"ASIC012266";"KI916187";"1949830";"1950206";"-1"
"ASIC012267";"KI916187";"1948878";"1944433";"-1"
"ASIC019066";"KI916197";"1789724";"1790405";"-1"
"ASIC019177";"KI916197";"1780982";"1781520";"1"
"ASIC019205";"KI916197";"1775072";"1775560";"1"
"ASIC019216";"KI916197";"1767214";"1768681";"-1"
"ASIC019227";"KI916197";"1763758";"1764069";"-1"
"ASIC019238";"KI916197";"1762479";"1763087";"1"
"ASIC019249";"KI916197";"1727837";"1727642";"-1"
"ASIC019260";"KI916197";"1704206";"1708813";"-1"
"ASIC018956";"KI916197";"1702153";"1703592";"1"
"ASIC018967";"KI916197";"1696419";"1700899";"-1"
"ASIC018978";"KI916197";"1694939";"1696258";"1"
"ASIC018989";"KI916197";"1688458";"1688311";"-1"
